nodes,distance
"[10137277666, 98015709]",0.553559
"[5686672075, 6603469213]",1.001815
"[10137277636, 6603469213]",0.727683
"[10137277663, 5835644965]",0.110712
"[10137277663, 5835644965]",0.221424
"[10137277663, 8265789518]",0.332136
"[10095319817, 5701302217]",2.216677
"[8265789578, 6410618898]",0.442848
"[8265789578, 6410618898]",2.214238
"[10122886242, 6410618903]",0.332136
"[10122886242, 6410618903]",1.995524
"[10122886242, 1497972661]",1.549966
"[10137277681, 1497972661]",1.063072
"[10137277678, 8265789526]",1.77139
"[8265789526, 98022250]",1.774438
"[8265789526, 98022250]",1.443004
"[10137277681, 6601195616]",2.88548
"[10137277672, 98022249]",3.230194
"[10137277736, 98022249]",0.553559
"[10137277737, 5684395529]",0.664271
"[5684395529, 98022247]",1.76723
"[5684393984, 98022247]",1.871185
"[5684393974, 98022246]",1.871185
"[5684393974, 98022245]",1.559321
"[5684393974, 98022245]",1.351411
"[5684393974, 98022245]",1.351411
"[5684393974, 98022245]",1.351411
"[5684393974, 98022245]",1.351411
"[5684395533, 10137277686]",1.900433
"[10137277723, 10137277722]",2.151525
"[5684393987, 98022242]",2.58183
"[10137277724, 98022242]",0.221424
"[10137277687, 98022239]",2.516924
"[10137277731, 10137277730]",3.640099
"[10137277735, 5716530368]",0.442848
"[11893436531, 98022233]",0.838975
"[8179214884, 98022231]",0.311864
"[8179214884, 98022231]",0.207909
"[8179214884, 6684369031]",0.90977
"[8179214884, 6684369028]",0.454885
"[8179214884, 6684369028]",0.0
"[6684369029, 98022231]",0.110712
"[9562795998, 2218557533]",0.0
"[9562795998, 2218557533]",0.110712
"[4539157486, 4539157485]",0.244612
"[8272696679, 2218557526]",0.664271
"[2218557526, 6684667790]",0.221424
"[10134947938, 8130248896]",0.891775
"[8130248897, 98014780]",0.774983
"[8130248897, 98014780]",0.774983
"[8130248892, 442907404]",0.664271
"[8167701920, 442907404]",0.415819
"[8167701920, 8004095695]",1.355939
"[6676321177, 98014779]",1.045426
"[6676321177, 98014779]",1.045426
"[6676321177, 103055868]",1.97824
"[8179214879, 103055868]",2.497368
"[8179214879, 103055868]",2.497368
"[8179214870, 8168022811]",0.332136
"[8179214870, 103006224]",0.736057
"[6676321179, 103006224]",0.415819
"[6676321179, 103006224]",0.103955
"[6676321179, 103006224]",0.103955
"[6662375639, 98014773]",0.207909
"[6662375639, 98014773]",0.207909
"[6662375639, 98014773]",0.736057
"[6662375638, 98014773]",0.633478
"[8178545017, 8178545018]",0.0
"[8272696192, 8178545043]",0.415819
"[8272696619, 8272696192]",0.332136
"[8272696192, 8178545038]",0.519774
"[8178545016, 8178545038]",0.207909
"[6662375634, 317968685]",0.519774
"[6662375634, 98014772]",0.727683
"[6662375634, 98014772]",0.727683
"[6662375634, 98014772]",0.727683
"[8178545010, 98014772]",2.39352
"[8178545011, 6667987115]",0.885695
"[6667987115, 102992074]",0.415819
"[10299943317, 102992074]",0.103955
"[10299943317, 102992074]",0.103955
"[11621684841, 8168022841]",0.831638
"[8178544971, 6667979822]",0.454885
"[6667979822, 98014767]",0.207909
"[6667979822, 98014767]",0.207909
"[6667979822, 98014767]",0.207909
"[6667979821, 98014767]",0.330933
"[11224731095, 8178544950]",3.184573
"[10211814959, 6667979820]",2.252943
"[8184202867, 6689714425]",0.103955
"[8184202867, 6689714425]",0.103955
"[6689714426, 102990802]",4.078348
"[6689714426, 102990802]",0.311864
"[8184202843, 11224731096]",0.235549
"[8184202845, 6689714427]",1.25236
"[8184202864, 8184202807]",0.207909
"[8184202864, 8184202807]",0.207909
"[10130015981, 8184202866]",0.783685
"[10130015981, 8184202866]",0.783685
"[10130015972, 10130015971]",4.251469
"[10130015972, 10130015971]",4.251469
"[10130015979, 102986558]",1.22306
"[6685594996, 102986558]",0.235549
"[8189781483, 6685594996]",0.454885
"[8189781483, 6685594996]",0.348024
"[6685594996, 5707599797]",0.760625
"[6685594996, 5707599797]",0.760625
"[6662352884, 5707599797]",0.430305
"[6662352884, 98010926]",0.760625
"[6662355785, 98010926]",0.244612
"[6662352882, 98010926]",0.330933
"[6662719068, 5707060227]",0.235549
"[6662719068, 5707060227]",0.235549
"[5707060227, 5707054217]",0.430305
